file_name,caption_1,kor_1,caption_2,kor_2,caption_3,kor_3,caption_4,kor_4,caption_5,kor_5
Distorted AM Radio noise.wav,A muddled noise of broken channel of the TV,TV 채널이 깨지는 혼탁한 소리,A television blares the rhythm of a static TV.,텔레비전은 정적 텔레비전의 리듬을 불끈불끈하게 한다.,Loud television static dips in and out of focus,시끄러운 텔레비전 정적이 초점 안으로 들어가거나 초점이 맞지 않음,The loud buzz of static constantly changes pitch and volume.,시끄러운 정적인 소리는 끊임없이 피치와 볼륨을 변화시킨다.,heavy static and the beginnings of a signal on a transistor radio,무거운 정전기 및 트랜지스터 라디오 신호의 시작
Paper_Parchment_Rustling.wav,A person is turning a map over and over.,한 사람이 지도를 반복해서 돌리고 있다.,A person is very carefully rapping a gift for someone else.,한 사람이 다른 사람을 위해 선물을 아주 조심스럽게 랩을 하고 있다.,A person is very carefully wrapping a gift for someone else.,한 사람이 다른 사람을 위해 선물을 아주 조심스럽게 포장하고 있다.,"He sighed as he turned the pages of the book, stopping to scan the information.",그는 그 정보를 스캔하기 위해 멈추면서 책의 페이지를 넘기면서 한숨을 쉬었다.,"papers are being turned, stopped, then turned again and someone is breathing.","종이를 돌리고, 멈추고, 다시 돌리고, 누군가가 숨을 쉬고 있다."
03 Whales Slowing Down.wav,Several barnyard animals mooing in a barn while it rains outside.,야외에서 비가 오는 동안 몇몇 바니야드 동물들이 헛간에서 지저귀고 있다.,"The vocalization of several whales, along with the clicking of large numbers of shrimp, reverberated below in the water.",많은 수의 새우가 딸깍거리는 소리와 함께 여러 마리의 고래들의 발성이 물밑에 울려 퍼졌다.,"Underwater, large numbers of shrimp clicking and several whales vocalizing.","수중, 많은 수의 새우가 딸깍거리고 몇몇 고래들이 목소리를 내고 있다.",Whales sing to one another over the flowing water in the distance.,고래들은 멀리서 흐르는 물 위에서 서로 노래한다.,wales sing to one another with water flowing in the background,웨일즈는 물을 배경으로 서로 노래한다.
Rope tied to boat in port.wav,An office chair is squeaking as someone bends back and forth in it.,사무용 의자가 누군가가 그 안에서 앞뒤로 구부러질 때 삐걱거린다.,Popping and squeaking gradually tapers off to a low level.,터지고 끽끽거리는 소리가 점차 낮아진다.,Someone is opening a creaky door slowly while a dog barks in the background,개가 뒤에서 짖는 동안 누군가가 삐걱거리는 문을 천천히 열고 있다.,Squeaking and popping followed by gradual popping and tapering off.,삐걱거리고 터지는 소리가 나더니 서서히 터지고 테이퍼링 하는 소리가 났다.,an office chair is squeaking as someone leans forward and backward in it,누군가가 의자를 앞으로 뒤로 젖히고 있을 때 사무용 의자가 삐걱거리고 있다.
carpenter bee.wav,A flying bee is buzzing loudly around an object and its wing hits it.,날아다니는 벌이 물체 주위에서 크게 윙윙거리고 있는데 그 날개가 물체를 때린다.,An annoying fly is buzzing loudly and consistently.,짜증나는 파리 한 마리가 시끄럽게 그리고 끊임없이 윙윙거리고 있다.,An insect buzzing in the foreground as birds chirp in the background.,새가 배경에서 지저귀고 있을 때 전경을 윙윙거리는 곤충.,"An insect trapped in a spider web struggles, breaks free and flies away.","거미줄에 갇힌 곤충은 몸부림치고, 부서져 날아가 버린다.","Outdoors, insect trapped in a spider web and then breaks loose and flies away.",야외에서 곤충은 거미줄에 갇힌 다음 흩어지며 날아간다.
violin1.wav,A bow playing a stringed instrument in a one note tone repeatedly before violins join to create the melody.,바이올린들이 합류하기 전 원노트 톤으로 현악기를 반복적으로 연주하는 활로 멜로디를 만들어낸다.,A low stringed instrument drones a steady tone and is eventually joined by violins.,낮은 현악기는 안정된 음색을 내고 결국 바이올린과 결합한다.,A large stringed instrument and a pair of violins are playing.,큰 현악기와 바이올린 한 쌍이 연주되고 있다.,A musical instrument creates a tune and is followed by other instruments.,악기는 곡조를 만들고 다른 악기가 뒤따른다.,An orchestra practicing for an upcoming concert in an enclosed room.,밀폐된 방에서 다가오는 연주회를 위해 연습하는 오케스트라.
121006_rain&amp;storm.wav,"As thunder claps far in the distance, the rain pours down.",멀리서 천둥이 치자 비가 억수같이 쏟아진다.,Rain pours down and thunder claps far in the distance.,비가 억수같이 쏟아지고 멀리서 천둥이 우르릉거린다.,Substantial rain and wind are pouring and spouting around and thunder is available.,상당한 비바람이 주위로 쏟아지고 뿜어져 나오고 천둥도 친다.,The rain falls down the thunder is rumbling as someone is pounding and a car passes.,누군가가 쿵쾅거리고 차가 지나가자 비가 억수같이 쏟아진다.,"The rain falls down while someone is pounding, a car passes by and the thunder is rumbling","누군가가 쿵쿵거리는 동안 비가 내리고, 차가 지나가며 천둥소리가 우르릉거린다."
draaiorgel2.wav,Something goes round that is playing its song.,노래를 틀고 있는 무언가가 돌아간다.,"At the fair, music is playing near a carousel through the speaker.",박람회에서 스피커를 통해 회전목마 근처에서 음악이 흘러나오고 있다.,"Chiming of bells, whistles and horns at a performance.","공연에서 종소리, 휘파람 소리, 경적을 울린다.",Fair kind music is being played at the circus grounds.,서커스장에서 공정한 음악이 연주되고 있다.,Polka or fair kind of music is being played.,폴카나 공정한 음악이 연주되고 있다.
Officejet Printer.wav,A paper printer is printing off multiple pages.,종이 프린터가 여러 페이지를 인쇄하고 있다.,A printer printing off multiple pages of paper,여러 페이지의 용지를 인쇄하는 프린터,A small printing device performing duties and printing pages of text.,업무를 수행하고 텍스트 페이지를 인쇄하는 작은 인쇄 장치.,A tiny printer performs its duties and prints the words.,작은 프린터가 임무를 수행하고 단어를 인쇄한다.,An automatic cutter feeds paper and cuts it.,자동 절단기가 종이를 먹이고 자른다.
Stockholm subway C20 train departing.wav,"A buzzer warns of departure, a air brake is released, while a roller coaster ride takes off.","버저가 출발을 경고하고, 에어 브레이크를 해제하며, 롤러 코스터가 이륙한다.","A horn beeps for an amusement park ride, air brakes release and the ride takes off.","경적 소리가 울려 놀이공원을 타라고 하고, 에어브레이크를 놓으면 놀이기구가 이륙한다.","A warning button sounds, then a vehicle goes at a high speed.",경고 버튼이 울리면 차량이 고속으로 달린다.,"After a horn beeps for an amusement park ride, the air brakes release and the ride begins.",놀이공원을 타라는 경적음이 울리면 에어브레이크가 해제되고 놀이기구가 시작된다.,"First comes a beeping sound, then a door closing, then the train starts to speed up.","먼저 삐걱거리는 소리가 나고, 그 다음 문이 닫히고, 그 다음엔 기차가 속도를 내기 시작한다."
